chapter,paragraph,sentence,text,tokens,token_count,tokens_str
CHAPTER VII,14,1,"Mrs. Bennet was prevented replying by the entrance of the footman with a note for Miss Bennet; it came from Netherfield, and the servant waited for an answer.","['bennet', 'prevented', 'replying', 'entrance', 'footman', 'note', 'miss', 'bennet', 'came', 'netherfield', 'servant', 'waited', 'answer']",13,bennet prevented replying entrance footman note miss bennet came netherfield servant waited answer
CHAPTER VII,14,2,"Mrs. Bennet’s eyes sparkled with pleasure, and she was eagerly calling out, while her daughter read,--","['bennet', 'eye', 'sparkled', 'pleasure', 'eagerly', 'calling', 'daughter', 'read']",8,bennet eye sparkled pleasure eagerly calling daughter read
CHAPTER VII,15,1,"“Well, Jane, who is it from?","['well', 'jane']",2,well jane
CHAPTER VII,15,2,What is it about?,[],0,
CHAPTER VII,15,3,What does he say?,['say'],1,say
CHAPTER VII,15,4,"Well, Jane, make haste and tell us; make haste, my love.”","['well', 'jane', 'make', 'haste', 'tell', 'u', 'make', 'haste', 'love']",9,well jane make haste tell u make haste love
CHAPTER VII,16,1,"“It is from Miss Bingley,” said Jane, and then read it aloud.","['miss', 'bingley', 'said', 'jane', 'read', 'aloud']",6,miss bingley said jane read aloud
CHAPTER VII,17,1,"/* NIND “My dear friend, */","['nind', 'dear', 'friend']",3,nind dear friend
CHAPTER VII,18,1,"“If you are not so compassionate as to dine to-day with Louisa and me, we shall be in danger of hating each other for the rest of our lives; for a whole day’s _tête-à-tête_ between two women can never end without a quarrel.","['compassionate', 'dine', 'louisa', 'shall', 'danger', 'hating', 'rest', 'life', 'whole', 'day', 'two', 'woman', 'never', 'end', 'without', 'quarrel']",16,compassionate dine louisa shall danger hating rest life whole day two woman never end without quarrel
CHAPTER VII,18,2,Come as soon as you can on the receipt of this.,"['come', 'soon', 'receipt']",3,come soon receipt
CHAPTER VII,18,3,My brother and the gentlemen are to dine with the officers.,"['brother', 'gentleman', 'dine', 'officer']",4,brother gentleman dine officer
CHAPTER VII,18,4,"Yours ever,",['ever'],1,ever
CHAPTER VII,19,1,“With the officers!” cried Lydia: “I wonder my aunt did not tell us of _that_.”,"['officer', 'cried', 'lydia', 'wonder', 'aunt', 'tell', 'u']",7,officer cried lydia wonder aunt tell u
CHAPTER VII,20,1,"“Dining out,” said Mrs. Bennet; “that is very unlucky.”","['dining', 'said', 'bennet', 'unlucky']",4,dining said bennet unlucky
CHAPTER VII,21,1,“Can I have the carriage?” said Jane.,"['carriage', 'said', 'jane']",3,carriage said jane
CHAPTER VII,22,1,"“No, my dear, you had better go on horseback, because it seems likely to rain; and then you must stay all night.”","['dear', 'better', 'go', 'horseback', 'seems', 'likely', 'rain', 'must', 'stay', 'night']",10,dear better go horseback seems likely rain must stay night
CHAPTER VII,23,1,"“That would be a good scheme,” said Elizabeth, “if you were sure that they would not offer to send her home.”","['would', 'good', 'scheme', 'said', 'elizabeth', 'sure', 'would', 'offer', 'send', 'home']",10,would good scheme said elizabeth sure would offer send home
CHAPTER VII,24,1,"“Oh, but the gentlemen will have Mr. Bingley’s chaise to go to Meryton; and the Hursts have no horses to theirs.”","['oh', 'gentleman', 'bingley', 'chaise', 'go', 'meryton', 'hursts', 'horse']",8,oh gentleman bingley chaise go meryton hursts horse
CHAPTER VII,25,1,“I had much rather go in the coach.”,"['much', 'rather', 'go', 'coach']",4,much rather go coach
CHAPTER VII,26,1,"“But, my dear, your father cannot spare the horses, I am sure.","['dear', 'father', 'spare', 'horse', 'sure']",5,dear father spare horse sure
CHAPTER VII,26,2,"They are wanted in the farm, Mr. Bennet, are not they?”","['wanted', 'farm', 'bennet']",3,wanted farm bennet
CHAPTER VII,27,1,“They are wanted in the farm much oftener than I can get them.”,"['wanted', 'farm', 'much', 'oftener', 'get']",5,wanted farm much oftener get
CHAPTER VII,28,1,"“But if you have got them to-day,” said Elizabeth, “my mother’s purpose will be answered.”","['got', 'said', 'elizabeth', 'mother', 'purpose', 'answered']",6,got said elizabeth mother purpose answered
CHAPTER VII,29,1,"She did at last extort from her father an acknowledgment that the horses were engaged; Jane was therefore obliged to go on horseback, and her mother attended her to the door with many cheerful prognostics of a bad day.","['last', 'extort', 'father', 'acknowledgment', 'horse', 'engaged', 'jane', 'therefore', 'obliged', 'go', 'horseback', 'mother', 'attended', 'door', 'many', 'cheerful', 'prognostic', 'bad', 'day']",19,last extort father acknowledgment horse engaged jane therefore obliged go horseback mother attended door many cheerful prognostic bad day
CHAPTER VII,29,2,Her hopes were answered; Jane had not been gone long before it rained hard.,"['hope', 'answered', 'jane', 'gone', 'long', 'rained', 'hard']",7,hope answered jane gone long rained hard
CHAPTER VII,29,3,"Her sisters were uneasy for her, but her mother was delighted.","['sister', 'uneasy', 'mother', 'delighted']",4,sister uneasy mother delighted
