chapter,paragraph,sentence,text,tokens,token_count,tokens_str
CHAPTER II,1,1,Mr. Bennet was among the earliest of those who waited on Mr. Bingley.,"['bennet', 'among', 'earliest', 'waited', 'bingley']",5,bennet among earliest waited bingley
CHAPTER II,1,2,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it.","['always', 'intended', 'visit', 'though', 'last', 'always', 'assuring', 'wife', 'go', 'till', 'evening', 'visit', 'paid', 'knowledge']",14,always intended visit though last always assuring wife go till evening visit paid knowledge
CHAPTER II,1,3,It was then disclosed in the following manner.,"['disclosed', 'following', 'manner']",3,disclosed following manner
CHAPTER II,1,4,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--","['observing', 'second', 'daughter', 'employed', 'trimming', 'hat', 'suddenly', 'addressed']",8,observing second daughter employed trimming hat suddenly addressed
CHAPTER II,2,1,"“I hope Mr. Bingley will like it, Lizzy.”","['hope', 'bingley', 'like', 'lizzy']",4,hope bingley like lizzy
CHAPTER II,3,1,"“We are not in a way to know _what_ Mr. Bingley likes,” said her mother, resentfully, “since we are not to visit.”","['way', 'know', 'bingley', 'like', 'said', 'mother', 'resentfully', 'since', 'visit']",9,way know bingley like said mother resentfully since visit
CHAPTER II,4,1,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”","['forget', 'mamma', 'said', 'elizabeth', 'shall', 'meet', 'assembly', 'long', 'promised', 'introduce']",10,forget mamma said elizabeth shall meet assembly long promised introduce
CHAPTER II,5,1,“I do not believe Mrs. Long will do any such thing.,"['believe', 'long', 'thing']",3,believe long thing
CHAPTER II,5,2,She has two nieces of her own.,"['two', 'niece']",2,two niece
CHAPTER II,5,3,"She is a selfish, hypocritical woman, and I have no opinion of her.”","['selfish', 'hypocritical', 'woman', 'opinion']",4,selfish hypocritical woman opinion
CHAPTER II,6,1,"“No more have I,” said Mr. Bennet; “and I am glad to find that you do not depend on her serving you.”","['said', 'bennet', 'glad', 'find', 'depend', 'serving']",6,said bennet glad find depend serving
CHAPTER II,7,1,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters.","['bennet', 'deigned', 'make', 'reply', 'unable', 'contain', 'began', 'scolding', 'one', 'daughter']",10,bennet deigned make reply unable contain began scolding one daughter
CHAPTER II,8,1,"“Don’t keep coughing so, Kitty, for heaven’s sake!","['keep', 'coughing', 'kitty', 'heaven', 'sake']",5,keep coughing kitty heaven sake
CHAPTER II,8,2,Have a little compassion on my nerves.,"['little', 'compassion', 'nerve']",3,little compassion nerve
CHAPTER II,8,3,You tear them to pieces.”,"['tear', 'piece']",2,tear piece
CHAPTER II,9,1,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”","['kitty', 'discretion', 'cough', 'said', 'father', 'time', 'ill']",7,kitty discretion cough said father time ill
CHAPTER II,10,1,"“I do not cough for my own amusement,” replied Kitty, fretfully.","['cough', 'amusement', 'replied', 'kitty', 'fretfully']",5,cough amusement replied kitty fretfully
CHAPTER II,10,2,"“When is your next ball to be, Lizzy?”","['next', 'ball', 'lizzy']",3,next ball lizzy
CHAPTER II,11,1,“To-morrow fortnight.”,['fortnight'],1,fortnight
CHAPTER II,12,1,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she will not know him herself.”","['ay', 'cried', 'mother', 'long', 'come', 'back', 'till', 'day', 'impossible', 'introduce', 'know']",11,ay cried mother long come back till day impossible introduce know
CHAPTER II,13,1,"“Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.”","['dear', 'may', 'advantage', 'friend', 'introduce', 'bingley']",6,dear may advantage friend introduce bingley
CHAPTER II,14,1,"“Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teasing?”","['impossible', 'bennet', 'impossible', 'acquainted', 'teasing']",5,impossible bennet impossible acquainted teasing
CHAPTER II,15,1,“I honour your circumspection.,"['honour', 'circumspection']",2,honour circumspection
CHAPTER II,15,2,A fortnight’s acquaintance is certainly very little.,"['fortnight', 'acquaintance', 'certainly', 'little']",4,fortnight acquaintance certainly little
CHAPTER II,15,3,One cannot know what a man really is by the end of a fortnight.,"['one', 'know', 'man', 'really', 'end', 'fortnight']",6,one know man really end fortnight
CHAPTER II,15,4,"But if _we_ do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.”","['venture', 'somebody', 'else', 'long', 'niece', 'must', 'stand', 'chance', 'therefore', 'think', 'act', 'kindness', 'decline', 'office', 'take']",15,venture somebody else long niece must stand chance therefore think act kindness decline office take
CHAPTER II,16,1,The girls stared at their father.,"['girl', 'stared', 'father']",3,girl stared father
CHAPTER II,16,2,"Mrs. Bennet said only, “Nonsense, nonsense!”","['bennet', 'said', 'nonsense', 'nonsense']",4,bennet said nonsense nonsense
CHAPTER II,17,1,“What can be the meaning of that emphatic exclamation?” cried he.,"['meaning', 'emphatic', 'exclamation', 'cried']",4,meaning emphatic exclamation cried
CHAPTER II,17,2,"“Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?","['consider', 'form', 'introduction', 'stress', 'laid', 'nonsense']",6,consider form introduction stress laid nonsense
CHAPTER II,17,3,I cannot quite agree with you _there_.,"['quite', 'agree']",2,quite agree
CHAPTER II,17,4,"What say you, Mary?","['say', 'mary']",2,say mary
CHAPTER II,17,5,"For you are a young lady of deep reflection, I know, and read great books, and make extracts.”","['young', 'lady', 'deep', 'reflection', 'know', 'read', 'great', 'book', 'make', 'extract']",10,young lady deep reflection know read great book make extract
CHAPTER II,18,1,"Mary wished to say something very sensible, but knew not how.","['mary', 'wished', 'say', 'something', 'sensible', 'knew']",6,mary wished say something sensible knew
CHAPTER II,19,1,"“While Mary is adjusting her ideas,” he continued, “let us return to Mr. Bingley.”","['mary', 'adjusting', 'idea', 'continued', 'let', 'u', 'return', 'bingley']",8,mary adjusting idea continued let u return bingley
CHAPTER II,20,1,"“I am sick of Mr. Bingley,” cried his wife.","['sick', 'bingley', 'cried', 'wife']",4,sick bingley cried wife
CHAPTER II,21,1,“I am sorry to hear _that_; but why did you not tell me so before?,"['sorry', 'hear', 'tell']",3,sorry hear tell
CHAPTER II,21,2,"If I had known as much this morning, I certainly would not have called on him.","['known', 'much', 'morning', 'certainly', 'would', 'called']",6,known much morning certainly would called
CHAPTER II,21,3,"It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now.”","['unlucky', 'actually', 'paid', 'visit', 'escape', 'acquaintance']",6,unlucky actually paid visit escape acquaintance
CHAPTER II,22,1,"The astonishment of the ladies was just what he wished--that of Mrs. Bennet perhaps surpassing the rest; though when the first tumult of joy was over, she began to declare that it was what she had expected all the while.","['astonishment', 'lady', 'wished', 'bennet', 'perhaps', 'surpassing', 'rest', 'though', 'first', 'tumult', 'joy', 'began', 'declare', 'expected']",14,astonishment lady wished bennet perhaps surpassing rest though first tumult joy began declare expected
CHAPTER II,23,1,"“How good it was in you, my dear Mr. Bennet!","['good', 'dear', 'bennet']",3,good dear bennet
CHAPTER II,23,2,But I knew I should persuade you at last.,"['knew', 'persuade', 'last']",3,knew persuade last
CHAPTER II,23,3,I was sure you loved your girls too well to neglect such an acquaintance.,"['sure', 'loved', 'girl', 'well', 'neglect', 'acquaintance']",6,sure loved girl well neglect acquaintance
CHAPTER II,23,4,"Well, how pleased I am!","['well', 'pleased']",2,well pleased
CHAPTER II,23,5,"And it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.”","['good', 'joke', 'gone', 'morning', 'never', 'said', 'word', 'till']",8,good joke gone morning never said word till
CHAPTER II,24,1,"“Now, Kitty, you may cough as much as you choose,” said Mr. Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife.","['kitty', 'may', 'cough', 'much', 'choose', 'said', 'bennet', 'spoke', 'left', 'room', 'fatigued', 'rapture', 'wife']",13,kitty may cough much choose said bennet spoke left room fatigued rapture wife
CHAPTER II,25,1,"“What an excellent father you have, girls,” said she, when the door was shut.","['excellent', 'father', 'girl', 'said', 'door', 'shut']",6,excellent father girl said door shut
CHAPTER II,25,2,"“I do not know how you will ever make him amends for his kindness; or me either, for that matter.","['know', 'ever', 'make', 'amends', 'kindness', 'either', 'matter']",7,know ever make amends kindness either matter
CHAPTER II,25,3,"At our time of life, it is not so pleasant, I can tell you, to be making new acquaintances every day; but for your sakes we would do anything.","['time', 'life', 'pleasant', 'tell', 'making', 'new', 'acquaintance', 'every', 'day', 'sake', 'would', 'anything']",12,time life pleasant tell making new acquaintance every day sake would anything
CHAPTER II,25,4,"Lydia, my love, though you _are_ the youngest, I dare say Mr. Bingley will dance with you at the next ball.”","['lydia', 'love', 'though', 'youngest', 'dare', 'say', 'bingley', 'dance', 'next', 'ball']",10,lydia love though youngest dare say bingley dance next ball
CHAPTER II,26,1,"“Oh,” said Lydia, stoutly, “I am not afraid; for though I _am_ the youngest, I’m the tallest.”","['oh', 'said', 'lydia', 'stoutly', 'afraid', 'though', 'youngest', 'tallest']",8,oh said lydia stoutly afraid though youngest tallest
CHAPTER II,27,1,"The rest of the evening was spent in conjecturing how soon he would return Mr. Bennet’s visit, and determining when they should ask him to dinner.","['rest', 'evening', 'spent', 'conjecturing', 'soon', 'would', 'return', 'bennet', 'visit', 'determining', 'ask', 'dinner']",12,rest evening spent conjecturing soon would return bennet visit determining ask dinner
CHAPTER III,1,1,"Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject, was sufficient to draw from her husband any satisfactory description of Mr. Bingley.","['bennet', 'however', 'assistance', 'five', 'daughter', 'could', 'ask', 'subject', 'sufficient', 'draw', 'husband', 'satisfactory', 'description', 'bingley']",14,bennet however assistance five daughter could ask subject sufficient draw husband satisfactory description bingley
CHAPTER III,1,2,"They attacked him in various ways, with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and they were at last obliged to accept the second-hand intelligence of their neighbour, Lady Lucas.","['attacked', 'various', 'way', 'barefaced', 'question', 'ingenious', 'supposition', 'distant', 'surmise', 'eluded', 'skill', 'last', 'obliged', 'accept', 'intelligence', 'neighbour', 'lady', 'lucas']",18,attacked various way barefaced question ingenious supposition distant surmise eluded skill last obliged accept intelligence neighbour lady lucas
CHAPTER III,1,3,Her report was highly favourable.,"['report', 'highly', 'favourable']",3,report highly favourable
CHAPTER III,1,4,Sir William had been delighted with him.,"['sir', 'william', 'delighted']",3,sir william delighted
CHAPTER III,1,5,"He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, he meant to be at the next assembly with a large party.","['quite', 'young', 'wonderfully', 'handsome', 'extremely', 'agreeable', 'crown', 'whole', 'meant', 'next', 'assembly', 'large', 'party']",13,quite young wonderfully handsome extremely agreeable crown whole meant next assembly large party
CHAPTER III,1,6,Nothing could be more delightful!,"['nothing', 'could', 'delightful']",3,nothing could delightful
CHAPTER III,1,7,To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr. Bingley’s heart were entertained.,"['fond', 'dancing', 'certain', 'step', 'towards', 'falling', 'love', 'lively', 'hope', 'bingley', 'heart', 'entertained']",12,fond dancing certain step towards falling love lively hope bingley heart entertained
CHAPTER III,2,1,"“If I can but see one of my daughters happily settled at Netherfield,” said Mrs. Bennet to her husband, “and all the others equally well married, I shall have nothing to wish for.”","['see', 'one', 'daughter', 'happily', 'settled', 'netherfield', 'said', 'bennet', 'husband', 'others', 'equally', 'well', 'married', 'shall', 'nothing', 'wish']",16,see one daughter happily settled netherfield said bennet husband others equally well married shall nothing wish
CHAPTER III,3,1,"In a few days Mr. Bingley returned Mr. Bennet’s visit, and sat about ten minutes with him in his library.","['day', 'bingley', 'returned', 'bennet', 'visit', 'sat', 'ten', 'minute', 'library']",9,day bingley returned bennet visit sat ten minute library
CHAPTER III,3,2,"He had entertained hopes of being admitted to a sight of the young ladies, of whose beauty he had heard much; but he saw only the father.","['entertained', 'hope', 'admitted', 'sight', 'young', 'lady', 'whose', 'beauty', 'heard', 'much', 'saw', 'father']",12,entertained hope admitted sight young lady whose beauty heard much saw father
CHAPTER III,3,3,"The ladies were somewhat more fortunate, for they had the advantage of ascertaining, from an upper window, that he wore a blue coat and rode a black horse.","['lady', 'somewhat', 'fortunate', 'advantage', 'ascertaining', 'upper', 'window', 'wore', 'blue', 'coat', 'rode', 'black', 'horse']",13,lady somewhat fortunate advantage ascertaining upper window wore blue coat rode black horse
CHAPTER III,4,1,"An invitation to dinner was soon afterwards despatched; and already had Mrs. Bennet planned the courses that were to do credit to her housekeeping, when an answer arrived which deferred it all.","['invitation', 'dinner', 'soon', 'afterwards', 'despatched', 'already', 'bennet', 'planned', 'course', 'credit', 'housekeeping', 'answer', 'arrived', 'deferred']",14,invitation dinner soon afterwards despatched already bennet planned course credit housekeeping answer arrived deferred
CHAPTER III,4,2,"Mr. Bingley was obliged to be in town the following day, and consequently unable to accept the honour of their invitation, etc.","['bingley', 'obliged', 'town', 'following', 'day', 'consequently', 'unable', 'accept', 'honour', 'invitation', 'etc']",11,bingley obliged town following day consequently unable accept honour invitation etc
CHAPTER III,4,3,Mrs. Bennet was quite disconcerted.,"['bennet', 'quite', 'disconcerted']",3,bennet quite disconcerted
CHAPTER III,4,4,"She could not imagine what business he could have in town so soon after his arrival in Hertfordshire; and she began to fear that he might always be flying about from one place to another, and never settled at Netherfield as he ought to be.","['could', 'imagine', 'business', 'could', 'town', 'soon', 'arrival', 'hertfordshire', 'began', 'fear', 'might', 'always', 'flying', 'one', 'place', 'another', 'never', 'settled', 'netherfield', 'ought']",20,could imagine business could town soon arrival hertfordshire began fear might always flying one place another never settled netherfield ought
CHAPTER III,4,5,Lady Lucas quieted her fears a little by starting the idea of his,"['lady', 'lucas', 'quieted', 'fear', 'little', 'starting', 'idea']",7,lady lucas quieted fear little starting idea
CHAPTER III,5,1,being gone to London only to get a large party for the ball; and a report soon followed that Mr. Bingley was to bring twelve ladies and seven gentlemen with him to the assembly.,"['gone', 'london', 'get', 'large', 'party', 'ball', 'report', 'soon', 'followed', 'bingley', 'bring', 'twelve', 'lady', 'seven', 'gentleman', 'assembly']",16,gone london get large party ball report soon followed bingley bring twelve lady seven gentleman assembly
CHAPTER III,5,2,"The girls grieved over such a number of ladies; but were comforted the day before the ball by hearing that, instead of twelve, he had brought only six with him from London, his five sisters and a cousin.","['girl', 'grieved', 'number', 'lady', 'comforted', 'day', 'ball', 'hearing', 'instead', 'twelve', 'brought', 'six', 'london', 'five', 'sister', 'cousin']",16,girl grieved number lady comforted day ball hearing instead twelve brought six london five sister cousin
CHAPTER III,5,3,"And when the party entered the assembly-room, it consisted of only five altogether: Mr. Bingley, his two sisters, the husband of the eldest, and another young man.","['party', 'entered', 'consisted', 'five', 'altogether', 'bingley', 'two', 'sister', 'husband', 'eldest', 'another', 'young', 'man']",13,party entered consisted five altogether bingley two sister husband eldest another young man
CHAPTER III,6,1,"Mr. Bingley was good-looking and gentlemanlike: he had a pleasant countenance, and easy, unaffected manners.","['bingley', 'gentlemanlike', 'pleasant', 'countenance', 'easy', 'unaffected', 'manner']",7,bingley gentlemanlike pleasant countenance easy unaffected manner
CHAPTER III,6,2,"His sisters were fine women, with an air of decided fashion.","['sister', 'fine', 'woman', 'air', 'decided', 'fashion']",6,sister fine woman air decided fashion
CHAPTER III,6,3,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien, and the report, which was in general circulation within five minutes after his entrance, of his having ten thousand a year.","['hurst', 'merely', 'looked', 'gentleman', 'friend', 'darcy', 'soon', 'drew', 'attention', 'room', 'fine', 'tall', 'person', 'handsome', 'feature', 'noble', 'mien', 'report', 'general', 'circulation', 'within', 'five', 'minute', 'entrance', 'ten', 'thousand', 'year']",27,hurst merely looked gentleman friend darcy soon drew attention room fine tall person handsome feature noble mien report general circulation within five minute entrance ten thousand year
CHAPTER III,6,4,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud, to be above his company, and above being pleased; and not all his large estate in Derbyshire could save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.","['gentleman', 'pronounced', 'fine', 'figure', 'man', 'lady', 'declared', 'much', 'handsomer', 'bingley', 'looked', 'great', 'admiration', 'half', 'evening', 'till', 'manner', 'gave', 'disgust', 'turned', 'tide', 'popularity', 'discovered', 'proud', 'company', 'pleased', 'large', 'estate', 'derbyshire', 'could', 'save', 'forbidding', 'disagreeable', 'countenance', 'unworthy', 'compared', 'friend']",37,gentleman pronounced fine figure man lady declared much handsomer bingley looked great admiration half evening till manner gave disgust turned tide popularity discovered proud company pleased large estate derbyshire could save forbidding disagreeable countenance unworthy compared friend
CHAPTER III,7,1,"Mr. Bingley had soon made himself acquainted with all the principal people in the room: he was lively and unreserved, danced every dance, was angry that the ball closed so early, and talked of giving one himself at Netherfield.","['bingley', 'soon', 'made', 'acquainted', 'principal', 'people', 'room', 'lively', 'unreserved', 'danced', 'every', 'dance', 'angry', 'ball', 'closed', 'early', 'talked', 'giving', 'one', 'netherfield']",20,bingley soon made acquainted principal people room lively unreserved danced every dance angry ball closed early talked giving one netherfield
CHAPTER III,7,2,Such amiable qualities must speak for themselves.,"['amiable', 'quality', 'must', 'speak']",4,amiable quality must speak
CHAPTER III,7,3,What a contrast between him and his friend!,"['contrast', 'friend']",2,contrast friend
CHAPTER III,7,4,"Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley, declined being introduced to any other lady, and spent the rest of the evening in walking about the room, speaking occasionally to one of his own party.","['darcy', 'danced', 'hurst', 'miss', 'bingley', 'declined', 'introduced', 'lady', 'spent', 'rest', 'evening', 'walking', 'room', 'speaking', 'occasionally', 'one', 'party']",17,darcy danced hurst miss bingley declined introduced lady spent rest evening walking room speaking occasionally one party
CHAPTER III,7,5,His character was decided.,"['character', 'decided']",2,character decided
CHAPTER III,7,6,"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again.","['proudest', 'disagreeable', 'man', 'world', 'everybody', 'hoped', 'would', 'never', 'come']",9,proudest disagreeable man world everybody hoped would never come
CHAPTER III,7,7,"Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters.","['amongst', 'violent', 'bennet', 'whose', 'dislike', 'general', 'behaviour', 'sharpened', 'particular', 'resentment', 'slighted', 'one', 'daughter']",13,amongst violent bennet whose dislike general behaviour sharpened particular resentment slighted one daughter
CHAPTER III,8,1,"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr. Darcy had been standing near enough for her to overhear a conversation between him and Mr. Bingley, who came from the dance for a few minutes to press his friend to join it.","['elizabeth', 'bennet', 'obliged', 'scarcity', 'gentleman', 'sit', 'two', 'dance', 'part', 'time', 'darcy', 'standing', 'near', 'enough', 'overhear', 'conversation', 'bingley', 'came', 'dance', 'minute', 'press', 'friend', 'join']",23,elizabeth bennet obliged scarcity gentleman sit two dance part time darcy standing near enough overhear conversation bingley came dance minute press friend join
CHAPTER III,9,1,"“Come, Darcy,” said he, “I must have you dance.","['come', 'darcy', 'said', 'must', 'dance']",5,come darcy said must dance
CHAPTER III,9,2,I hate to see you standing about by yourself in this stupid manner.,"['hate', 'see', 'standing', 'stupid', 'manner']",5,hate see standing stupid manner
CHAPTER III,9,3,You had much better dance.”,"['much', 'better', 'dance']",3,much better dance
CHAPTER III,10,1,“I certainly shall not.,"['certainly', 'shall']",2,certainly shall
CHAPTER III,10,2,"You know how I detest it, unless I am particularly acquainted with my partner.","['know', 'detest', 'unless', 'particularly', 'acquainted', 'partner']",6,know detest unless particularly acquainted partner
CHAPTER III,10,3,"At such an assembly as this, it would be insupportable.","['assembly', 'would', 'insupportable']",3,assembly would insupportable
CHAPTER III,10,4,"Your sisters are engaged, and there is not another woman in the room whom it would not be a punishment to me to stand up with.”","['sister', 'engaged', 'another', 'woman', 'room', 'would', 'punishment', 'stand']",8,sister engaged another woman room would punishment stand
CHAPTER III,11,1,"“I would not be so fastidious as you are,” cried Bingley, “for a kingdom!","['would', 'fastidious', 'cried', 'bingley', 'kingdom']",5,would fastidious cried bingley kingdom
CHAPTER III,11,2,"Upon my honour, I never met with so many pleasant girls in my life as I have this evening; and there are several of them, you see, uncommonly pretty.”","['upon', 'honour', 'never', 'met', 'many', 'pleasant', 'girl', 'life', 'evening', 'several', 'see', 'uncommonly', 'pretty']",13,upon honour never met many pleasant girl life evening several see uncommonly pretty
CHAPTER III,12,1,"“_You_ are dancing with the only handsome girl in the room,” said Mr. Darcy, looking at the eldest Miss Bennet.","['dancing', 'handsome', 'girl', 'room', 'said', 'darcy', 'looking', 'eldest', 'miss', 'bennet']",10,dancing handsome girl room said darcy looking eldest miss bennet
CHAPTER III,13,1,"“Oh, she is the most beautiful creature I ever beheld!","['oh', 'beautiful', 'creature', 'ever', 'beheld']",5,oh beautiful creature ever beheld
CHAPTER III,13,2,"But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say very agreeable.","['one', 'sister', 'sitting', 'behind', 'pretty', 'dare', 'say', 'agreeable']",8,one sister sitting behind pretty dare say agreeable
CHAPTER III,13,3,Do let me ask my partner to introduce you.”,"['let', 'ask', 'partner', 'introduce']",4,let ask partner introduce
CHAPTER III,14,1,"“Which do you mean?” and turning round, he looked for a moment at Elizabeth, till, catching her eye, he withdrew his own, and coldly said, “She is tolerable: but not handsome enough to tempt _me_; and I am in no humour at present to give consequence to young ladies who are slighted by other men.","['mean', 'turning', 'round', 'looked', 'moment', 'elizabeth', 'till', 'catching', 'eye', 'withdrew', 'coldly', 'said', 'tolerable', 'handsome', 'enough', 'tempt', 'humour', 'present', 'give', 'consequence', 'young', 'lady', 'slighted', 'men']",24,mean turning round looked moment elizabeth till catching eye withdrew coldly said tolerable handsome enough tempt humour present give consequence young lady slighted men
CHAPTER III,14,2,"You had better return to your partner and enjoy her smiles, for you are wasting your time with me.”","['better', 'return', 'partner', 'enjoy', 'smile', 'wasting', 'time']",7,better return partner enjoy smile wasting time
CHAPTER III,15,1,Mr. Bingley followed his advice.,"['bingley', 'followed', 'advice']",3,bingley followed advice
CHAPTER III,15,2,Mr. Darcy walked off; and Elizabeth remained with no very cordial feelings towards him.,"['darcy', 'walked', 'elizabeth', 'remained', 'cordial', 'feeling', 'towards']",7,darcy walked elizabeth remained cordial feeling towards
CHAPTER III,15,3,"She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in anything ridiculous.","['told', 'story', 'however', 'great', 'spirit', 'among', 'friend', 'lively', 'playful', 'disposition', 'delighted', 'anything', 'ridiculous']",13,told story however great spirit among friend lively playful disposition delighted anything ridiculous
CHAPTER III,16,1,The evening altogether passed off pleasantly to the whole family.,"['evening', 'altogether', 'passed', 'pleasantly', 'whole', 'family']",6,evening altogether passed pleasantly whole family
CHAPTER III,16,2,Mrs. Bennet had seen her eldest daughter much admired by the Netherfield party.,"['bennet', 'seen', 'eldest', 'daughter', 'much', 'admired', 'netherfield', 'party']",8,bennet seen eldest daughter much admired netherfield party
CHAPTER III,16,3,"Mr. Bingley had danced with her twice, and she had been distinguished by his sisters.","['bingley', 'danced', 'twice', 'distinguished', 'sister']",5,bingley danced twice distinguished sister
CHAPTER III,16,4,"Jane was as much gratified by this as her mother could be, though in a quieter way.","['jane', 'much', 'gratified', 'mother', 'could', 'though', 'quieter', 'way']",8,jane much gratified mother could though quieter way
CHAPTER III,16,5,Elizabeth felt Jane’s pleasure.,"['elizabeth', 'felt', 'jane', 'pleasure']",4,elizabeth felt jane pleasure
CHAPTER III,16,6,"Mary had heard herself mentioned to Miss Bingley as the most accomplished girl in the neighbourhood; and Catherine and Lydia had been fortunate enough to be never without partners, which was all that they had yet learnt to care for at a ball.","['mary', 'heard', 'mentioned', 'miss', 'bingley', 'accomplished', 'girl', 'neighbourhood', 'catherine', 'lydia', 'fortunate', 'enough', 'never', 'without', 'partner', 'yet', 'learnt', 'care', 'ball']",19,mary heard mentioned miss bingley accomplished girl neighbourhood catherine lydia fortunate enough never without partner yet learnt care ball
CHAPTER III,16,7,"They returned, therefore, in good spirits to Longbourn, the village where they lived, and of which they were the principal inhabitants.","['returned', 'therefore', 'good', 'spirit', 'longbourn', 'village', 'lived', 'principal', 'inhabitant']",9,returned therefore good spirit longbourn village lived principal inhabitant
CHAPTER III,16,8,They found Mr. Bennet still up.,"['found', 'bennet', 'still']",3,found bennet still
CHAPTER III,16,9,"With a book, he was regardless of time; and on the present occasion he had a good deal of curiosity as to the event of an evening which had raised such splendid expectations.","['book', 'regardless', 'time', 'present', 'occasion', 'good', 'deal', 'curiosity', 'event', 'evening', 'raised', 'splendid', 'expectation']",13,book regardless time present occasion good deal curiosity event evening raised splendid expectation
CHAPTER III,16,10,He had rather hoped that all his wife’s views on the stranger would be disappointed; but he soon found that he had a very different story to hear.,"['rather', 'hoped', 'wife', 'view', 'stranger', 'would', 'disappointed', 'soon', 'found', 'different', 'story', 'hear']",12,rather hoped wife view stranger would disappointed soon found different story hear
CHAPTER III,17,1,"“Oh, my dear Mr. Bennet,” as she entered the room, “we have had a most delightful evening, a most excellent ball.","['oh', 'dear', 'bennet', 'entered', 'room', 'delightful', 'evening', 'excellent', 'ball']",9,oh dear bennet entered room delightful evening excellent ball
CHAPTER III,17,2,I wish you had been there.,['wish'],1,wish
CHAPTER III,17,3,"Jane was so admired, nothing could be like it.","['jane', 'admired', 'nothing', 'could', 'like']",5,jane admired nothing could like
CHAPTER III,17,4,"Everybody said how well she looked; and Mr. Bingley thought her quite beautiful, and danced with her twice.","['everybody', 'said', 'well', 'looked', 'bingley', 'thought', 'quite', 'beautiful', 'danced', 'twice']",10,everybody said well looked bingley thought quite beautiful danced twice
CHAPTER III,17,5,"Only think of _that_, my dear: he actually danced with her twice; and she was the only creature in the room that he asked a second time.","['think', 'dear', 'actually', 'danced', 'twice', 'creature', 'room', 'asked', 'second', 'time']",10,think dear actually danced twice creature room asked second time
CHAPTER III,17,6,"First of all, he asked Miss Lucas.","['first', 'asked', 'miss', 'lucas']",4,first asked miss lucas
CHAPTER III,17,7,"I was so vexed to see him stand up with her; but, however, he did not admire her at all; indeed, nobody can, you know; and he seemed quite struck with Jane as she was going down the dance.","['vexed', 'see', 'stand', 'however', 'admire', 'indeed', 'nobody', 'know', 'seemed', 'quite', 'struck', 'jane', 'going', 'dance']",14,vexed see stand however admire indeed nobody know seemed quite struck jane going dance
CHAPTER III,17,8,"So he inquired who she was, and got introduced, and asked her for the two next.","['inquired', 'got', 'introduced', 'asked', 'two', 'next']",6,inquired got introduced asked two next
CHAPTER III,17,9,"Then, the two third he danced with Miss King, and the two fourth with Maria Lucas, and the two fifth with Jane again, and the two sixth with Lizzy, and the _Boulanger_----”","['two', 'third', 'danced', 'miss', 'king', 'two', 'fourth', 'maria', 'lucas', 'two', 'fifth', 'jane', 'two', 'sixth', 'lizzy']",15,two third danced miss king two fourth maria lucas two fifth jane two sixth lizzy
CHAPTER III,18,1,"“If he had had any compassion for _me_,” cried her husband impatiently, “he would not have danced half so much!","['compassion', 'cried', 'husband', 'impatiently', 'would', 'danced', 'half', 'much']",8,compassion cried husband impatiently would danced half much
CHAPTER III,18,2,"For God’s sake, say no more of his partners.","['god', 'sake', 'say', 'partner']",4,god sake say partner
CHAPTER III,18,3,O that he had sprained his ancle in the first dance!”,"['sprained', 'ancle', 'first', 'dance']",4,sprained ancle first dance
